City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Praia,CV,2022-06-15 12:31:14,14.9215,-23.5087,79.34,65,40,16.11
162,Poum,NC,2022-06-15 12:31:15,-20.2333,164.0167,76.66,81,1,13.09
163,Pangkalanbuun,ID,2022-06-15 12:31:15,-2.6833,111.6167,76.28,94,61,3.06
164,Aktash,RU,2022-06-15 12:31:16,50.3,87.7333,53.56,70,83,2.01
165,Grand-Bourg,GP,2022-06-15 12:31:16,15.8835,-61.3148,82.35,79,100,19.39
166,Carnarvon,AU,2022-06-15 12:25:20,-24.8667,113.6333,69.87,94,100,11.5
167,Half Moon Bay,US,2022-06-15 12:31:17,37.4636,-122.4286,60.96,79,0,6.91
168,Ucluelet,CA,2022-06-15 12:31:18,48.9329,-125.5528,51.1,87,100,4.94
169,Rio Verde De Mato Grosso,BR,2022-06-15 12:31:18,-18.9181,-54.8442,75.87,43,0,6.24
170,Kudahuvadhoo,MV,2022-06-15 12:31:19,2.6708,72.8944,84.25,70,100,10.58
171,Puerto Baquerizo Moreno,EC,2022-06-15 12:31:19,-0.9,-89.6,70.75,81,54,15.41
172,Portland,US,2022-06-15 12:31:20,45.5234,-122.6762,51.75,87,75,4.61
173,Saldanha,ZA,2022-06-15 12:31:20,-33.0117,17.9442,57.67,53,4,3.24
174,Saint George,US,2022-06-15 12:31:21,37.1041,-113.5841,70.39,19,0,9.22
175,Khatanga,RU,2022-06-15 12:31:22,71.9667,102.5,63.39,31,10,12.01
176,Severo-Yeniseyskiy,RU,2022-06-15 12:31:22,60.3725,93.0408,56.61,92,100,4.0
177,Teonthar,IN,2022-06-15 12:31:23,24.9833,81.65,91.42,51,74,24.92
178,Tuktoyaktuk,CA,2022-06-15 12:31:24,69.4541,-133.0374,35.49,76,10,8.32
179,Broken Hill,AU,2022-06-15 12:32:25,-31.95,141.4333,55.74,73,100,10.89
180,Havre-Saint-Pierre,CA,2022-06-15 12:32:25,50.2334,-63.5986,66.56,59,20,5.75
181,San Carlos De Bariloche,AR,2022-06-15 12:30:36,-41.1456,-71.3082,32.25,86,100,2.91
182,Komsomolskiy,UZ,2022-06-15 12:32:26,40.4272,71.7189,90.32,20,100,18.41
183,Saint-Philippe,RE,2022-06-15 12:32:27,-21.3585,55.7679,74.79,83,35,13.8
184,Port Elizabeth,ZA,2022-06-15 12:32:27,-33.918,25.5701,51.31,84,40,19.57
185,Ocampo,MX,2022-06-15 12:32:28,21.65,-101.5,57.2,82,100,15.12
186,Baykit,RU,2022-06-15 12:32:29,61.67,96.37,68.38,75,100,4.29
187,Camacha,PT,2022-06-15 12:32:29,33.0833,-16.3333,69.22,64,20,24.16
188,Kruisfontein,ZA,2022-06-15 12:32:30,-34.0033,24.7314,47.88,63,19,20.85
189,Ust-Kulom,RU,2022-06-15 12:32:30,61.6864,53.6902,76.35,31,100,0.87
190,Juneau,US,2022-06-15 12:32:31,58.3019,-134.4197,47.21,96,88,4.63
191,Lewisville,US,2022-06-15 12:32:31,33.0462,-96.9942,81.03,78,100,16.11
192,Ukiah,US,2022-06-15 12:32:32,39.1502,-123.2078,60.64,84,0,0.0
193,Brigantine,US,2022-06-15 12:32:32,39.4101,-74.3646,76.03,77,0,4.61
194,Rutana,BI,2022-06-15 12:32:33,-3.8667,30.1,71.24,52,97,3.76
195,Savannakhet,LA,2022-06-15 12:32:33,16.566,104.751,86.02,74,40,2.3
